date,st_id,pr_sku_id,pr_sales_type_id,pr_uom_id,day,weekday,holiday,pr_sales_in_units,month,quarter
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,00661699f543753ec7e911a64b9fd2f6,0.0,1.0,1,0,0.0,1,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,0094042bfeae507dc7f62acc8e5ed03a,0.5,1.0,1,0,0.0,6,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,033013f94a18c066e8b3d610bed34bee,0.0,17.0,1,0,0.0,4,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,050a8120e2a3b8751df8752fcc0323ef,1.0,1.0,1,0,0.0,12,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,06076bf3c802444ebc7d5619ab64ceb6,1.0,1.0,1,0,0.0,5,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,064e3a5648fb4a7f911155bd81f87fd2,0.0,1.0,1,0,0.0,2,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,07fcc48bf0cd6433c1e5124a5e1e962d,0.0,1.0,1,0,0.0,1,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,08dc3a654abf4087cedd4b03684c5862,0.5,17.0,1,0,0.0,5,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,0a68dd43c227b0e66d52665d6c3ca8ba,0.0,1.0,1,0,0.0,3,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,0a829bf93822e2d5cfb86e4245cd020a,0.0,17.0,1,0,0.0,2,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,0ad7341f0f7f634f1f3d24ed53e0788c,1.0,1.0,1,0,0.0,2,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,0cc57d9daaa686e94f9ab541f3026121,1.0,1.0,1,0,0.0,3,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,0cc8850f66397af21700e3c060a5210c,0.0,17.0,1,0,0.0,1,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,0e97d6e7124d6cc9623650201236cd52,0.0,17.0,1,0,0.0,1,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,0f152427918d29bb1081834c1d375a48,0.0,17.0,1,0,0.0,1,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,107bd9ed7ce0d5e347e13b692eb2abb3,1.0,17.0,1,0,0.0,3,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,113bc2e89c4ed2a3fa3091c9adcb3f49,0.0,1.0,1,0,0.0,11,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,11f207f64d952f43c2f028da2c786d3b,0.0,1.0,1,0,0.0,2,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,13c11f36d7304f758d93ba433bf2b774,0.5,17.0,1,0,0.0,8,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,17667b08596154dc5e9417f410cbced3,0.0,1.0,1,0,0.0,5,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,177b588f64308de26aff1c43644f6e84,0.0,17.0,1,0,0.0,3,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,194adbcaa46104c43d41ad4f23c18407,0.5,17.0,1,0,0.0,4,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,1a0f36f6e92560bcae205b6c32cc033f,0.5,1.0,1,0,0.0,20,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,1b0251ccb8bd5f9ccf444e4bda7713e3,0.5,1.0,1,0,0.0,2,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,1b1f4205ab5d9b437c143fc6d7e18c80,0.0,1.0,1,0,0.0,6,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,1ba182cd1edf4f5b15f17fd6a8b8e60f,0.0,1.0,1,0,0.0,2,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,1cac981fb61dc0e4a41e6a8508552803,0.0,1.0,1,0,0.0,1,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,1cec786e41a51f75b5701511f995218b,0.5,1.0,1,0,0.0,10,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,1d2448c22721c94bb0264cf52598522f,1.0,17.0,1,0,0.0,27,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,1edb148e94ceddc5abaa91ad4814a737,0.0,17.0,1,0,0.0,2,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,1ef67b3830faf45363d2da935c604d7a,0.0,17.0,1,0,0.0,5,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,20d9b4bfd4b672f61d87f420856aac5d,0.0,17.0,1,0,0.0,35,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,2188bd364970d4acf961ff2fea1bd71e,0.0,1.0,1,0,0.0,2,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,225de5ef23fbfa96f02a8e1e8626ab66,0.0,1.0,1,0,0.0,4,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,22988026fe85fde60d8bf777ab6bc3b4,1.0,17.0,1,0,0.0,13,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,23f70c32de93a01ccf59f9138a5baa3d,0.0,1.0,1,0,0.0,1,8,2022Q3
2022-08-01,16a5cdae362b8d27a1d8f8c7b78b4330,25297b758a38dfb3475046e5dc01291a,0.5,1.0,1,0,0.0,6,8,2022Q3
